source_file,Name,CAS,Clean_Name,CC50_raw,CC50_mM,Cell_line,Method,Mw
ammonium.csv,"N,N,N-triethylprop-2-en-1-aminium chloride",5197-93-3,N N N-TRIETHYLPROP-2-EN-1-AMINIUM CHLORIDE,6.41,6.41,HeLa,MTT,177.719
ammonium.csv,"N,N,N-trimethylbutan-1-aminium bis((trifluoromethyl)sulfonyl)imide",258273-75-5,N N N-TRIMETHYLBUTAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,0.183,0.183,HCT-116,MTS,396.375
ammonium.csv,"N,N,N-trimethylbutan-1-aminium bis((trifluoromethyl)sulfonyl)imide",258273-75-5,N N N-TRIMETHYLBUTAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,0.299,0.299,MCF-7,MTS,396.375
ammonium.csv,"N,N,N-trimethylbutan-1-aminium bis((trifluoromethyl)sulfonyl)imide",258273-75-5,N N N-TRIMETHYLBUTAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,0.313,0.313,U251,MTS,396.375
ammonium.csv,"N,N,N-trimethylbutan-1-aminium bis((trifluoromethyl)sulfonyl)imide",258273-75-5,N N N-TRIMETHYLBUTAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,2.22,2.22,NHDF,MTS,396.375
ammonium.csv,"N,N,N-trimethylbutan-1-aminium bis((trifluoromethyl)sulfonyl)imide",258273-75-5,N N N-TRIMETHYLBUTAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,>2.52,2.52,IPC-81,WST-1,396.375
ammonium.csv,"N,N,N-trimethylbutan-1-aminium methanesulfonate",156294-07-4,N N N-TRIMETHYLBUTAN-1-AMINIUM METHANESULFONATE,>4.7322,4.7322,IPC-81,WST-1,211.327
ammonium.csv,"N,N,N-trimethyltetradecan-1-aminium bromide",1119-97-7,N N N-TRIMETHYLTETRADECAN-1-AMINIUM BROMIDE,0.00578,0.00578,C6,MTT,336.402
ammonium.csv,"N,N,N-trimethyltetradecan-1-aminium bromide",1119-97-7,N N N-TRIMETHYLTETRADECAN-1-AMINIUM BROMIDE,0.04,0.04,C6,Hemoglobin release,336.402
ammonium.csv,"N,N-bis(2-hydroxyethyl)-N-methylhexan-1-aminium acetate",1883421-60-0,N N-BIS(2-HYDROXYETHYL)-N-METHYLHEXAN-1-AMINIUM ACETATE,24.2,24.2,L929,MTS,263.378
ammonium.csv,"N,N-bis(2-hydroxyethyl)-N-methylhexan-1-aminium acetylalaninate",,N N-BIS(2-HYDROXYETHYL)-N-METHYLHEXAN-1-AMINIUM ACETYLALANINATE,26.3,26.3,L929,MTS,334.457
ammonium.csv,"N,N-dibutyl-N-methylbutan-1-aminium acetate",131242-39-2,N N-DIBUTYL-N-METHYLBUTAN-1-AMINIUM ACETATE,9.8,9.8,HCE,AlamarBlue,259.434
ammonium.csv,"N,N-dibutyl-N-methylbutan-1-aminium methanesulfonate",16925-73-8,N N-DIBUTYL-N-METHYLBUTAN-1-AMINIUM METHANESULFONATE,1.2522,1.2522,IPC-81,WST-1,295.489
ammonium.csv,"N,N-diethyl-N-((methylthio)methyl)ethanaminium chloride",1427172-70-0,N N-DIETHYL-N-((METHYLTHIO)METHYL)ETHANAMINIUM CHLORIDE,>0.5,0.5,HeLa,MTT,197.775
ammonium.csv,"N,N-diethyl-N-((methylthio)methyl)ethanaminium chloride",1427172-70-0,N N-DIETHYL-N-((METHYLTHIO)METHYL)ETHANAMINIUM CHLORIDE,>0.5,0.5,HeLa,MTT,197.775
ammonium.csv,"N,N-diethyl-N-((methylthio)methyl)ethanaminium chloride",1427172-70-0,N N-DIETHYL-N-((METHYLTHIO)METHYL)ETHANAMINIUM CHLORIDE,>0.5,0.5,K562,MTT,197.775
ammonium.csv,"N,N-diethyl-N-((methylthio)methyl)ethanaminium chloride",1427172-70-0,N N-DIETHYL-N-((METHYLTHIO)METHYL)ETHANAMINIUM CHLORIDE,>0.5,0.5,K562,MTT,197.775
ammonium.csv,"N,N-diethyl-N-((methylthio)methyl)ethanaminium chloride",1427172-70-0,N N-DIETHYL-N-((METHYLTHIO)METHYL)ETHANAMINIUM CHLORIDE,>0.5,0.5,HUVEC,MTT,197.775
ammonium.csv,"N,N-diethyl-N-((methylthio)methyl)ethanaminium chloride",1427172-70-0,N N-DIETHYL-N-((METHYLTHIO)METHYL)ETHANAMINIUM CHLORIDE,>0.5,0.5,HUVEC,MTT,197.775
ammonium.csv,"N,N-diethyl-N-methylethanaminium methyl sulfate",7588-22-9,N N-DIETHYL-N-METHYLETHANAMINIUM METHYL SULFATE,>4.40,4.4,IPC-81,WST-1,227.326
ammonium.csv,"N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)butan-1-aminium bromide",2448400-78-8,N N-DIMETHYL-N-(2-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)ETHYL)BUTAN-1-AMINIUM BROMIDE,2.18,2.18,HeLa,MTS,403.314
ammonium.csv,"N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)butan-1-aminium bromide",2448400-78-8,N N-DIMETHYL-N-(2-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)ETHYL)BUTAN-1-AMINIUM BROMIDE,1.88,1.88,HCT-116,MTS,403.314
ammonium.csv,"N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)butan-1-aminium bromide",2448400-78-8,N N-DIMETHYL-N-(2-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)ETHYL)BUTAN-1-AMINIUM BROMIDE,1.54,1.54,MCF-7,MTS,403.314
ammonium.csv,"N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)dodecan-1-aminium bromide",1610863-01-8,N N-DIMETHYL-N-(2-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)ETHYL)DODECAN-1-AMINIUM BROMIDE,0.1,0.1,HeLa,MTS,515.53
ammonium.csv,"N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)dodecan-1-aminium bromide",1610863-01-8,N N-DIMETHYL-N-(2-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)ETHYL)DODECAN-1-AMINIUM BROMIDE,0.21,0.21,HCT-116,MTS,515.53
ammonium.csv,"N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)dodecan-1-aminium bromide",1610863-01-8,N N-DIMETHYL-N-(2-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)ETHYL)DODECAN-1-AMINIUM BROMIDE,0.18,0.18,MCF-7,MTS,515.53
ammonium.csv,"N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)octan-1-aminium bromide",2448400-87-9,N N-DIMETHYL-N-(2-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)ETHYL)OCTAN-1-AMINIUM BROMIDE,0.26,0.26,HeLa,MTS,459.422
ammonium.csv,"N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)octan-1-aminium bromide",2448400-87-9,N N-DIMETHYL-N-(2-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)ETHYL)OCTAN-1-AMINIUM BROMIDE,0.095,0.095,HCT-116,MTS,459.422
