Name,CAS,Clean_Name,Source_File
"N,N,N-triethylprop-2-en-1-aminium chloride",5197-93-3,N N N-TRIETHYLPROP-2-EN-1-AMINIUM CHLORIDE,ammonium.csv
"N,N,N-trimethylbutan-1-aminium bis((trifluoromethyl)sulfonyl)imide",258273-75-5,N N N-TRIMETHYLBUTAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,ammonium.csv
"N,N,N-trimethylbutan-1-aminium methanesulfonate",156294-07-4,N N N-TRIMETHYLBUTAN-1-AMINIUM METHANESULFONATE,ammonium.csv
"N,N,N-trimethyltetradecan-1-aminium bromide",1119-97-7,N N N-TRIMETHYLTETRADECAN-1-AMINIUM BROMIDE,ammonium.csv
"N,N-bis(2-hydroxyethyl)-N-methylhexan-1-aminium acetate",1883421-60-0,N N-BIS(2-HYDROXYETHYL)-N-METHYLHEXAN-1-AMINIUM ACETATE,ammonium.csv
"N,N-bis(2-hydroxyethyl)-N-methylhexan-1-aminium acetylalaninate",,N N-BIS(2-HYDROXYETHYL)-N-METHYLHEXAN-1-AMINIUM ACETYLALANINATE,ammonium.csv
"N,N-dibutyl-N-methylbutan-1-aminium acetate",131242-39-2,N N-DIBUTYL-N-METHYLBUTAN-1-AMINIUM ACETATE,ammonium.csv
"N,N-dibutyl-N-methylbutan-1-aminium methanesulfonate",16925-73-8,N N-DIBUTYL-N-METHYLBUTAN-1-AMINIUM METHANESULFONATE,ammonium.csv
"N,N-diethyl-N-((methylthio)methyl)ethanaminium chloride",1427172-70-0,N N-DIETHYL-N-((METHYLTHIO)METHYL)ETHANAMINIUM CHLORIDE,ammonium.csv
"N,N-diethyl-N-methylethanaminium methyl sulfate",7588-22-9,N N-DIETHYL-N-METHYLETHANAMINIUM METHYL SULFATE,ammonium.csv
