Clean_Name,corr_score_min,corr_score_mean,corr_score_var,data_points,UNS
321,0.25,0.8318014705882353,0.06581000839562344,544,S32100
325,,,0.0,0,S32500
329,0.25,0.8785457910995333,0.05138311527026879,556,S32900
347,0.25,0.8291716991625668,0.066263775027858,561,S34700
3CR12,,,0.0,0,
403,0.25,0.6022458628841607,0.10548665030867309,423,S40300
4043-H14,0.999869748162524,0.999869748162524,0.0,1,A94034
405,0.25,0.6022458628841607,0.10548665030867309,423,S40500
409,0.25,0.606760903702269,0.10623636822387274,425,S40900
40CO-20CR-15NI-7MO,0.34924458360170096,0.6169681642692704,0.12232621929684354,5,
410,0.25,0.6112157420061387,0.10224355287860382,589,S41000
4130,0.6425486044692343,0.7122800437843875,0.009724947257925783,2,G41300
4130 STEEL,0.6986344247631282,0.891278729786533,0.010677203301074143,8,G41300
416,0.25,0.6035714285714285,0.10589413569723834,420,S41600
420,0.25,0.6039192399049881,0.10569293631942088,421,S42000
430,0.25,0.6900636297537615,0.09317484763378693,582,S43000
434,0.25,0.7877358490566038,0.08654570318693516,477,S43400
4340 STEEL,0.8401019661470344,0.8401019661470344,0.0,1,G43400
439,0.3638761213472617,0.5517476591498097,0.08049844506437111,4,S43035
44-CO-31CR-13W,0.7966397701969122,0.9153603151024587,0.006559899429813956,4,
444,0.3599516044570672,0.6608306192015816,0.05474778348986261,28,S44400
446,0.2600294653243268,0.6327789931317399,0.09270990177136493,5,S44600
44CO-31CR-13W,0.412949445986653,0.8657673564025511,0.03495644370899761,54,
5 AL BRONZE,0.9967654415064607,0.9967654415064607,0.0,1,C60800
5 CR,0.8821929204333909,0.9650357779394507,0.0019169575905439707,8,K51545
5 CR STEEL,0.9602525677891274,0.9652104205840738,3.26152410345121e-05,3,K41545
5 NI STEEL,0.9394452483054478,0.9545405091007156,0.00017426949735755738,3,
5005-H34,0.9998263471021015,0.9998263471021015,0.0,1,A95005
5050-H34,0.999869748162524,0.999869748162524,0.0,1,A95050
5052-H34,0.9566421290774022,0.9782342380897519,0.0009324383432023817,2,A95052
5083-0,0.9993494698353768,0.9994794665819728,3.379830825116174e-08,2,A95083
5083-H34,0.9998263471021015,0.9998263471021015,0.0,1,A95083
5083-O,0.9997829541468991,0.9997829541468991,0.0,1,A95083
5086-0,0.9993494698353768,0.9994794665819728,3.379830825116174e-08,2,A95086
5086-H34,0.9998263471021015,0.9998263471021015,0.0,1,A95086
50CO-20CR-15W-10NI,0.8304820237218405,0.9750362566958122,0.002120093662275103,34,
5144-H38,0.999609463328569,0.999609463328569,0.0,1,A95144
5154-H34,0.999869748162524,0.999869748162524,0.0,1,A95154
5154-H38,0.9993927818749868,0.9993927818749868,0.0,1,A95154
53-CO-30CR-4 5W,0.9893899157238002,0.9936751617888802,1.6149906889459444e-05,6,
5357-H34,0.999869748162524,0.999869748162524,0.0,1,A95357
53CO-30CR-4 5W,0.47792701269629995,0.906288519622731,0.021725871024101822,54,
5447-H34,0.999609463328569,0.999609463328569,0.0,1,A95447
5454-H34,0.9993494698353768,0.9995951096200285,6.830308039215885e-08,3,A95454
5454-O,0.999869748162524,0.999869748162524,0.0,1,A95454
5456-0,0.9987439483376693,0.9992851477198854,5.857935426221427e-07,2,A95456
5456-H321,0.9031710582573919,0.9512710960958666,0.003084821000649536,4,A95456
5456-O,0.9998263471021015,0.9998263471021015,0.0,1,A95456
5457-H34,0.9993927818749868,0.9993927818749868,0.0,1,A95457
5CR,0.3638761213472617,0.6108442192149266,0.06407565481016422,10,K51545
5CR-0 5MO STEEL,0.4776868449810208,0.4776868449810208,0.0,1,K41245
5CR-0 5MO-STEEL,0.4761064671776891,0.4761064671776891,0.0,1,K41245
5CR-1 5MO,0.7686217868402407,0.8779736338921103,0.02391565290731095,2,
5CR-MO STEEL,0.9602525677891274,0.9602525677891274,0.0,2,J42045
60-40 CUPRONICKEL,0.9948461868894809,0.9974230934447404,1.3280894789079285e-05,2,
600,0.7906276949992507,0.7906276949992507,0.0,1,N06600
6061-T4,0.9998263471021015,0.9998263471021015,0.0,1,A96061
67ZR-33NI,0.9974087512942694,0.9989901453074849,7.200355419343299e-07,6,
7 ALUMINUM BRONZE,0.9993061658736881,0.999689127666073,9.12927597961877e-08,6,C61000
7-MO,0.9329385073952491,0.9329385073952491,0.0,1,S32900
70-3- CUPRONICKEL,0.75,0.75,0.0,1,C71500
70-30 CUPRONICKEL,0.25,0.8385019822475626,0.03902313357219648,169,C71500
70-30 CUPRONICKEL (MODIFIED),1.0,1.0,0.0,1,C71900
7075-T6,0.8950377619905345,0.9692478149665813,0.0014242710625170024,7,A97075
7075-T73,0.8725028695491559,0.8725028695491559,0.0,1,A97075
7079-T6,0.9997395692944301,0.9997395692944301,0.0,1,A97079
70CU-29NI-1SN,0.9988735699983899,0.9995664935277263,2.1318335248005298e-07,6,
70CU-30NI,0.9394452483054478,0.9769465628601145,0.001054761444996042,3,C71500
718,0.9978386199262116,0.9981259990199517,2.4776023055684065e-07,3,N07718
75-25 CUPRONICKEL,0.9832519361552844,0.9832519361552844,0.0,1,C71300
7CR-MO STEEL,0.9792503710240241,0.9792503710240241,0.0,1,S50300
80-20 CUPRONICKEL,0.6596855036112103,0.8887589863642806,0.017130491369710666,6,C71000
8090-T5,0.9772759308665283,0.9772759308665283,0.0,1,A98090
8090-T6,0.9639237112075716,0.9639237112075716,0.0,1,A98090
8090-T81,0.4269084346677318,0.4269084346677318,0.0,1,A98090
825,0.9956972201374479,0.9979498729399361,2.255308732692547e-06,4,N08825
85-15 CUPRONICKEL + CR,1.0,1.0,0.0,2,C72200
85WC-15CO,0.5010935880000178,0.8367712832463254,0.038982121992626975,5,
85WC-15CO-,0.5056318270792695,0.5056318270792695,0.0,1,
9 CR STEEL,0.8632876209511904,0.8960282927485532,0.0011053633833786945,3,S50400
9 CU STEEL,0.9495968758909883,0.9495968758909883,0.0,1,S50400
